material,score
CoCr,31.12353894
CoCr,32.40564121
CoCr,33.26723333
CoCr,32.62361008
CoCr,35.7567046
CoCr,32.34444892
CoCr,34.40505028
CoCr,32.97989811
CoCr,32.60012539
CoCr,36.95682615
CoCr,31.80246244
CoCr,29.36249993
CoCr,32.09790421
CoCr,31.78622778
CoCr,31.09608823
CoCr,29.44471871
CoCr,32.65931683
CoCr,31.71849182
CoCr,31.45488725
CoCr,31.24727339
CoCr,31.91940465
CoCr,30.25701867
CoCr,32.59079285
CoCr,32.6962422
CoCr,31.36741657
CoCr,29.94034325
CoCr,31.96900203
CoCr,33.9692329
CoCr,31.05190223
CoCr,30.62622738
CoCr,32.26194645
CoCr,31.32734743
CoCr,30.40497986
CoCr,32.11388263
CoCr,34.64755246
CoCr,33.50378392
CoCr,32.86631007
CoCr,35.31579515
CoCr,37.99537198
CoCr,30.97040055
CoCr,32.99501849
CoCr,31.92907421
CoCr,30.91555179
CoCr,34.29794634
CoCr,32.59365967
CoCr,33.99779664
CoCr,35.11369956
CoCr,33.828761
CoCr,31.62479079
CoCr,31.85227171
CoCr,35.73239819
CoCr,34.19274626
CoCr,34.55853842
CoCr,32.36366196
CoCr,33.78176278
CoCr,35.27423602
CoCr,32.86815439
CoCr,36.08698987
CoCr,33.01499414
CoCr,34.2097073
CoCr,31.7948657
CoCr,30.47239561
CoCr,31.90388173
CoCr,33.51530251
CoCr,33.49585438
CoCr,32.13476379
CoCr,33.75234731
CoCr,30.90239384
CoCr,31.92477597
CoCr,33.12248336
CoCr,32.12775171
CoCr,35.95871659
CoCr,29.31269439
CoCr,33.04340177
CoCr,31.61917913
CoCr,31.93136492
CoCr,31.82298477
CoCr,34.4369769
CoCr,34.43218916
CoCr,36.55087464
CoCr,35.0964555
CoCr,32.94641843
CoCr,33.66697713
CoCr,29.8196441
CoCr,33.75726881
CoCr,33.09288466
CoCr,33.56030683
CoCr,31.62606084
CoCr,36.01613421
CoCr,31.59712094
CoCr,30.99291445
CoCr,33.1088949
CoCr,30.60937501
CoCr,32.32326152
CoCr,36.61961154
CoCr,31.48465587
CoCr,31.67134601
CoCr,35.17776043
CoCr,35.00862563
CoCr,31.9606654
CoCr,32.03026403
CoCr,34.93362299
CoCr,33.18648937
CoCr,32.32164201
CoCr,31.11485528
CoCr,30.23254744
CoCr,33.08433758
CoCr,35.54680315
CoCr,32.8473291
CoCr,30.81136963
CoCr,33.95279483
CoCr,32.49217665
CoCr,32.30850747
CoCr,32.24469587
CoCr,37.89986736
CoCr,31.46098748
CoCr,31.55571483
CoCr,32.25254699
CoCr,31.71134374
CoCr,31.3568081
CoCr,31.93858349
CoCr,35.58249909
CoCr,32.99900959
CoCr,33.54147546
CoCr,33.26592826
CoCr,33.28132916
CoCr,32.70250179
CoCr,30.23000505
CoCr,30.04185138
CoCr,33.69334084
CoCr,32.98826855
CoCr,31.96639866
CoCr,32.00556389
CoCr,30.97584405
CoCr,35.81569679
CoCr,30.76444325
CoCr,31.71452129
CoCr,32.48199221
CoCr,33.56240443
CoCr,32.96396194
CoCr,34.36189659
CoCr,34.90642628
CoCr,31.64618966
CoCr,31.96074097
CoCr,31.56056834
CoCr,32.90711898
CoCr,33.09210587
CoCr,33.39833057
CoCr,32.25671764
CoCr,30.4683415
CoCr,36.32682618
CoCr,32.46167884
CoCr,31.19260084
CoCr,35.2003582
CoCr,32.16445949
CoCr,34.9679519
CoCr,33.1328409
CoCr,34.99094403
CoCr,31.40559878
CoCr,34.2958435
CoCr,30.4778019
CoCr,31.73884795
CoCr,34.30492893
CoCr,34.90413365
CoCr,33.57557341
CoCr,37.57825792
CoCr,31.48688616
CoCr,31.43267469
CoCr,31.46261646
CoCr,35.98377129
CoCr,30.39365696
CoCr,32.16946905
CoCr,35.11071262
CoCr,35.67464382
CoCr,30.37276399
CoCr,34.92555225
CoCr,34.07448408
CoCr,32.39785782
CoCr,32.59839048
CoCr,33.45279737
CoCr,33.63896879
CoCr,36.25552953
CoCr,31.91596264
CoCr,32.85083994
CoCr,31.56948643
CoCr,32.19259762
CoCr,30.05459051
CoCr,31.55383004
CoCr,31.30783978
CoCr,33.25942879
CoCr,31.16595316
CoCr,30.95751307
CoCr,34.45013262
CoCr,35.91841096
CoCr,32.44650212
CoCr,34.09803055
CoCr,31.87147037
CoCr,29.30565761
CoCr,31.06492375
CoCr,31.45511485
CoCr,33.61983804
CoCr,34.50932055
CoCr,32.07970789
CoCr,30.50047556
CoCr,30.80170219
CoCr,30.69446897
CoCr,35.45422863
CoCr,33.13333864
CoCr,32.46642303
CoCr,34.6489791
CoCr,32.02026667
CoCr,31.09449825
CoCr,30.54520327
CoCr,31.8868883
CoCr,33.40846247
CoCr,32.19451913
CoCr,33.39300008
CoCr,31.35291755
CoCr,34.64654225
CoCr,32.10464051
CoCr,32.28590561
CoCr,30.89428534
CoCr,32.39492269
CoCr,32.52626544
CoCr,31.32139247
CoCr,36.73347952
CoCr,31.39455937
CoCr,30.76709458
CoCr,31.9422914
CoCr,34.35024761
CoCr,30.13700664
CoCr,32.61556126
CoCr,31.90740963
CoCr,32.44088002
CoCr,30.49068981
CoCr,32.03522445
CoCr,32.9065706
CoCr,34.69765642
CoCr,32.84384632
CoCr,35.89634292
CoCr,35.32091534
CoCr,33.26476029
CoCr,32.03051226
CoCr,31.48264212
CoCr,32.78170589
CoCr,33.2342305
CoCr,32.18973797
CoCr,33.23180095
CoCr,31.49162845
CoCr,31.88707718
CoCr,33.11751927
CoCr,34.13335854
CoCr,32.78844983
CoCr,33.76718751
CoCr,34.37641807
CoCr,30.84621072
CoCr,35.72786744
CoCr,30.50558073
CoCr,33.09376226
CoCr,33.49579445
CoCr,32.2118701
CoCr,33.34562751
CoCr,34.18322203
CoCr,34.16231157
CoCr,31.76693519
CoCr,34.23766344
CoCr,33.35226432
CoCr,30.46766281
CoCr,32.82490556
CoCr,32.55024849
CoCr,33.05598198
CoCr,32.15047193
CoCr,31.06158937
CoCr,32.93956546
CoCr,29.63788339
CoCr,36.1139856
CoCr,32.23060961
CoCr,33.06963598
CoCr,33.79078398
CoCr,33.79174167
CoCr,35.73419346
CoCr,34.11598753
CoCr,33.83240554
CoCr,34.76310229
CoCr,33.92863374
CoCr,32.87266627
CoCr,33.30983623
CoCr,30.31135938
CoCr,29.24827871
CoCr,34.25598209
CoCr,31.54988804
CoCr,34.27253935
CoCr,28.78944991
CoCr,32.03151804
CoCr,34.12511122
CoCr,31.6032691
CoCr,35.3588557
CoCr,32.52883165
CoCr,34.02192878
CoCr,32.11027413
CoCr,33.42512834
CoCr,32.67640184
CoCr,32.73886255
CoCr,31.25509216
CoCr,37.81172933
CoCr,35.97883337
CoCr,31.39053221
CoCr,30.20961713
CoCr,34.97186879
CoCr,33.3726459
CoCr,32.39459098
CoCr,33.12839246
CoCr,31.13056197
CoCr,32.84209162
CoCr,31.81187529
