scenario,component,method,iteration,score,activity labels,energy_scenario
AM HTO,Instruments (material),climate change,4,3.2037075179409644,,Current
AM HTO,Instruments (manufac.),climate change,4,1.713339111086901,,Current
AM HTO,Packaging,climate change,4,0.23335260785171322,,Current
AM HTO,Sterilisation,climate change,4,0.16514971917034746,,Current
AM HTO,Transport,climate change,4,0.06565681218492816,,Current
AM HTO,Anesthesia,climate change,4,2.6055092492595358,,Current
AM HTO,End-of-life,climate change,4,0.0,,Current
AM HTO (steel jig),Total,climate change,4,11.268305142377846,,Current
AM HTO (steel jig),Implant (material),climate change,4,2.3363515878419614,,Current
AM HTO (steel jig),Implant (manufac.),climate change,4,1.5780311382661156,,Current
AM HTO (steel jig),Argon,climate change,4,0.7017330127953428,,Current
AM HTO (steel jig),Instruments (material),climate change,4,0.9907788050956464,,Current
AM HTO (steel jig),Instruments (manufac.),climate change,4,2.597614803184117,,Current
AM HTO (steel jig),Packaging,climate change,4,0.23335260785171322,,Current
AM HTO (steel jig),Sterilisation,climate change,4,0.16514971917034746,,Current
AM HTO (steel jig),Transport,climate change,4,0.05978421891306114,,Current
AM HTO (steel jig),Anesthesia,climate change,4,2.6055092492595358,,Current
AM HTO (steel jig),End-of-life,climate change,4,0.0,,Current
UKR,Total,climate change,5,38.366172688953434,,Current
UKR,Implant (material),climate change,5,23.786391246804495,,Current
UKR,Implant (manufac.),climate change,5,4.717994637223325,,Current
UKR,Argon,climate change,5,0.0011360219586612184,,Current
UKR,Instruments (material),climate change,5,0.9420380430794009,,Current
UKR,Instruments (manufac.),climate change,5,0.022024968296871564,,Current
UKR,Packaging,climate change,5,0.3630475293536465,,Current
UKR,Sterilisation,climate change,5,0.5588161557811904,,Current
UKR,Transport,climate change,5,4.170981200040416,,Current
UKR,Anesthesia,climate change,5,3.658947183633064,,Current
UKR,End-of-life,climate change,5,0.1447957027824005,,Current
CM HTO,Total,climate change,5,10.026672585576891,,Current
CM HTO,Implant (material),climate change,5,3.4369348899940895,,Current
CM HTO,Implant (manufac.),climate change,5,0.39034579022965077,,Current
CM HTO,Argon,climate change,5,2.8400546900118656e-05,,Current
CM HTO,Instruments (material),climate change,5,0.9420380430794009,,Current
CM HTO,Instruments (manufac.),climate change,5,0.022024968296871564,,Current
CM HTO,Packaging,climate change,5,0.2595619158211124,,Current
CM HTO,Sterilisation,climate change,5,0.27561581178898575,,Current
CM HTO,Transport,climate change,5,1.0411755821868092,,Current
